Rang;Produkt;Gramm;Stück;Umsatz EUR;Stück Aktion1;Stück Aktion2
169;"#CAPPUCCINO STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";250;10;725;0;10
170;"INVISIBLE TRESSEN #COOL TONED RU GLATT";250;5;975;0;5
171;"#SNOWY STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";250;10;725;0;10
172;"#BUTTER CREAM STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";250;10;725;0;10
173;"#BUTTER CREAM RUSSISCHE BONDINGS GLATT 1G";225;9;638;6;3
174;"#2T14A DUNKELBLOND OMBRÉ US WELLIGE TAPE EXTENSIONS 55CM ♡";225;9;411;3;6
175;"#4 SAMTBRAUN US WELLIGE KERATIN BONDINGS 65CM SAMTBRAUN ♡";225;9;403;9;0
176;"#GLOW - INVISIBLE CLIP EXTENSIONS - HELLBRAUN GOLD ♡ › 225g";225;1;330;1;0
177;"#RAW - INVISIBLE CLIP EXTENSIONS  - SCHWARZBRAUN ♡ › 225g";225;1;330;1;0
178;"#BUTTER CREAM - INVISIBLE CLIP EXTENSIONS ♡ › 225g";225;1;330;1;0
179;"#EBONY - INVISIBLE CLIP EXTENSIONS - TIEFSCHWARZ ♡ › 225g";225;1;330;0;1
180;"#SMOKY BROWN - INVISIBLE CLIP EXTENSIONS ♡ › 225g";225;1;330;0;1
181;"#CARAMEL FUDGE - INVISIBLE CLIP EXTENSIONS -  BALAYAGE MITTELBRAUN MIT HELLBLOND ASCH ALS HIGHLIGHTS ♡ › 225g";225;1;330;0;1
182;"#DIRTY BLOND - INVISIBLE CLIP EXTENSIONS - DUNKELBLOND GOLD ♡ › 225g";225;1;330;0;1
183;"#TAUPE - INVISIBLE CLIP EXTENSIONS › 225g";225;1;330;0;1
184;"#60 PLATINBLONDE 45CM  TAPE EXTENSIONS ♡";225;9;403;9;0
185;"#DUBAI US WELLIGE TAPE EXTENSIONS 65CM ♡";225;9;413;7;2
186;"#5P18A US WELLIGE KERATIN BONDINGS ASCHIG GESTRÄHNT 65CM ♡";225;9;448;0;9
187;"#60 PLATIN US WELLIGE KERATIN BONDINGS PLATINBLOND 65CM ♡";200;8;421;3;5
188;"#3T8A US WELLIGE TRESSE ECHTHAAR CLASSIC TRESSEN 65CM ♡";200;4;368;3;1
189;"#FAWN - INVISIBLE CLIP EXTENSIONS - HELLBRAUN ♡ › 100g";200;2;286;2;0
190;"#TAUPE STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";200;8;566;2;6
191;"#4/27T24 REHBRAUN US WELLIGE GENIUS TRESSEN ECHTHAAR EXTENSIONS 65CM ♡";200;4;396;4;0
192;"#MOCHA MELT US WELLIGE KERATIN BONDINGS BALAYAGE BRAUN 65CM ♡";200;8;393;3;5
193;"#BERGEN BLOND US WELLIGE KERATIN BONDINGS OMBRÉ SANDBLOND 65CM ♡";200;8;393;3;5
194;"#ORANGE US WELLIGE TAPE EXTENSIONS 65CM ♡";200;8;358;8;0
195;"#RED US WELLIGE TAPE EXTENSIONS 65CM ♡";200;8;358;8;0
196;"#BERGEN BLOND SANDBLOND OMRÉ US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";200;4;398;4;0
197;"#RAW - INVISIBLE CLIP EXTENSIONS  - SCHWARZBRAUN ♡ › 100g";200;2;318;1;1
198;"TRESSEN #RAW SCHWARZBRAUN RU GLATT CLASSIC WEFT ♡";200;4;580;0;4
199;"#2 SCHOKOBRAUNE 45CM TAPE EXTENSIONS  ♡";200;8;358;0;8
200;"#COOL TONED - INVISIBLE CLIP EXTENSIONS - BALAYAGE MITTELASCHBRAUN ♡ › 100g";200;2;318;0;2
201;"#BUTTERSCOTCH STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";200;8;580;0;8
202;"#6A REHBRAUNE US WELLIGE TAPE EXTENSIONS 65CM ♡";200;8;398;0;8
