Rang;Produkt;Gramm;Stück;Umsatz EUR;Stück Aktion1;Stück Aktion2
124;"#6A REHBRAUNE US WELLIGE TAPE EXTENSIONS 65CM ♡";200;8;398;0;8
125;"#4A MOKKARAUNE US WELLIGE KERATIN BONDINGS 65CM MOKKABRAUN ♡";200;8;398;0;8
126;"#4 SAMTBRAUNE US WELLIGE 65CM  TAPE EXTENSIONS ♡";175;7;338;2;5
127;"#5A KÜHLES HELLBRAUN US WELLIGE TAPES  85CM ♡";175;7;459;6;1
128;"#2T18A OMBRÉ KÜHLES BLOND US WELLIGE TAPE EXTENSIONS 65CM ♡";175;7;348;0;7
129;"#99J DUNKLE KIRSCHE 45CM TAPE EXTENSIONS  ♡";175;7;309;1;6
130;"#SILVER BONDINGS US WELLIGE  85CM ♡";175;7;466;7;0
131;"#PEARL WHITE US WELLIGE  BONDINGS 85CM ♡";175;7;483;6;1
132;"#4A MOKKABRAUNE 45CM TAPE EXTENSIONS ♡";175;7;300;3;4
133;"#6A REHBRAUNE US WELLIGE TAPE EXTENSIONS 45CM♡";175;7;291;7;0
134;"#2E DUNKELBRAUNE US WELLIGE TAPE EXTENSIONS 85CM ♡";175;7;473;4;3
135;"#24A 45CM SANDBLONDE TAPE EXTENSIONS  ♡";175;7;313;0;7
136;"#SILVER ASCHBLONDE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";150;3;308;3;0
137;"#4A MOKKABRAUNE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";150;3;279;2;1
138;"#NATURAL/GREY US WELLIGE TRESSEN ECHTHAAR CLASSIC TRESSEN 65CM ♡";150;3;269;3;0
139;"#NORVEGIAN KÜHLES BLOND  US WELLIGE TAPE EXTENSIONS 45CM♡";150;6;269;0;6
140;"#VIKING BLOND GESTRÄHNTE US WELLIGE TRESSEN ECHTHAAR CLASSIC TRESSEN 65CM";150;3;299;0;3
141;"#6A REHBRAUNE US WELLIGE TAPE EXTENSIONS 55CM ♡";150;6;284;4;2
142;"#1A - TIEFSCHWARZ US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";150;3;330;0;3
143;"#VIKING BLOND GESTRÄHNTE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";150;3;330;0;3
144;"P4|6 Mini Tapes";150;3;435;0;3
145;"#27 TRESSEN GOLDBLONDE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";150;3;299;0;3
146;"#8 GOLD KUPFER US WELLIGE GENIUS TRESSEN ECHTHAAR EXTENSIONS 65CM ♡";150;3;330;0;3
147;"#2E DUNKELBRAUNE US WELLIGE  BONDINGS 85CM ♡";150;6;405;0;6
148;"#2A PONYTAIL 130G - 65CM › 130 g";130;1;200;1;0
149;"#3A PONYTAIL 130G - 65CM › 130 g";130;1;200;1;0
150;"#1A PONYTAIL 130G - 65CM › 130 g";130;1;200;1;0
151;"#5P18A PONYTAIL 130G - 65CM › 130 g";130;1;200;0;1
152;"#VIKING BLOND PONYTAIL 130G - 65CM › 130 g";130;1;200;0;1
153;"#NORVEGIAN PONYTAIL 130G - 65CM › 130 g";130;1;200;0;1
154;"#5A PONYTAIL 130G - 65CM › 130 g";130;1;200;0;1
155;"#4A PONYTAIL 130G - 65CM › 130 g";130;1;200;0;1
156;"#4 SAMTBRAUNE 45CM TAPE EXTENSIONS ♡";125;5;224;1;4
157;"#2A ASCHBRAUNE US WELLIGE  45CM TAPE EXTENSIONS ♡";125;5;210;3;2
158;"#14A DUNKELBLONDE 55CM TAPE EXTENSIONS 55CM ♡";125;5;227;4;1
159;"#VIKING BLOND US WELLIGE TAPE 85CM ♡";125;5;338;4;1
160;"#3T8A US WELLIGE TAPE EXTENSIONS 85CM ♡";125;5;338;0;5
161;"#2E DUNKELBRAUNE 45CM TAPE EXTENSIONS  ♡";100;4;170;4;0
162;"#3T8A 45CM TAPE EXTENSIONS  ♡";100;4;161;4;0
